"gene","logFC_baseline","FDR_baseline","logFC_adjusted","FDR_adjusted","sig_baseline","sig_adjusted"
"LPCAT3",0.203137417930251,7.44735918208759e-05,0.193196094896345,0.000857097141386105,FALSE,FALSE
"PPP1R3B",0.325189840222071,7.5298749738199e-05,0.282808937306677,0.00209329383670546,FALSE,FALSE
"HLA-B",0.193296468592386,7.5298749738199e-05,0.210915792043672,0.000134964334539669,FALSE,FALSE
"MRNIP",-0.168529470884366,7.53845565132534e-05,-0.178743350924827,0.000168461773951644,FALSE,FALSE
"ZNFX1",0.239585130931568,7.54186099881346e-05,0.220525904480694,0.00126100247021549,FALSE,FALSE
"ALDH1A1",0.281484779036312,7.54186099881346e-05,0.324423858668153,5.47930858917841e-05,FALSE,FALSE
"AL355075.2",-0.295533544351592,7.5986642398984e-05,-0.368681890176976,9.45005923180872e-06,FALSE,FALSE
"PDHA1",-0.086249887661613,7.62068536658778e-05,-0.0621820673020155,0.0106380367742422,FALSE,FALSE
"ITGB3",0.536301800540528,7.65692504363218e-05,0.490388220386168,0.0016410560136732,FALSE,FALSE
"FAM83F",0.396423788671809,7.70525648527702e-05,0.306431628608207,0.00733349508873217,FALSE,FALSE
"GLTP",0.124804339375225,7.71761423989034e-05,0.111137171673215,0.00132042588589046,FALSE,FALSE
"LYSMD2",0.216928131405614,7.74044217020428e-05,0.186575061767866,0.00249866167966733,FALSE,FALSE
"P3H3",-0.49926586539729,7.75926450453898e-05,-0.525243309384937,0.000217937702253924,FALSE,FALSE
"SEC24D",0.18834529030857,7.76127168892689e-05,0.187963653015288,0.000456731666520925,FALSE,FALSE
"FAM160B1",0.198610185896104,7.76127168892689e-05,0.156915499524807,0.004760022258788,FALSE,FALSE
"AL031602.2",0.309299619979973,7.76127168892689e-05,0.291717175520385,0.000758082177594538,FALSE,FALSE
"SCUBE3",-0.329471139238176,7.76127168892689e-05,-0.323940819202966,0.000365322131928508,FALSE,FALSE
"ZNF404",-0.306206579311732,7.7919154079686e-05,-0.323827721369731,0.000204590161449523,FALSE,FALSE
"BCKDK",0.186417238589021,7.80922169292703e-05,0.204806330459473,0.00010300726280848,FALSE,FALSE
"AL162253.2",0.345431832627854,7.80922169292703e-05,0.363099865631363,0.000224975947941304,FALSE,FALSE
"AC126773.5",0.320779258152742,7.80922169292703e-05,0.24647208230104,0.00527845048014809,FALSE,FALSE
"STAT3",0.227751781084441,7.80922169292703e-05,0.224345144852402,0.00056800103267291,FALSE,FALSE
"SPTB",0.680040093140174,7.81227855581166e-05,0.453677141638751,0.0137741604928556,FALSE,FALSE
"TTC7B",0.348276726145025,7.83293284209256e-05,0.286482167999126,0.00396352140132562,FALSE,FALSE
"ACER3",0.163811414647818,7.90314365915038e-05,0.138230206862458,0.00261268895294386,FALSE,FALSE
"H3-3A",0.256967435141758,7.95035676209678e-05,0.234421045417913,0.00109679670018503,FALSE,FALSE
"SMCHD1",0.236870629105243,7.97433774033949e-05,0.171279950762567,0.0100482438528839,FALSE,FALSE
"BAZ1A",0.216168380888608,7.98116875120101e-05,0.179960178750742,0.00339282923093897,FALSE,FALSE
"CNTROB",-0.116957987695165,8.0003170973713e-05,-0.0994685483074612,0.00282349650018083,FALSE,FALSE
"AARSD1",-0.175929542256838,8.01434861414637e-05,-0.183824419818657,0.00019953888401456,FALSE,FALSE
"KPNA4",0.0952687662409153,8.04798480166488e-05,0.0812722298420413,0.00242903894951873,FALSE,FALSE
"PRPS1",-0.110985121581904,8.04920276954347e-05,-0.0849662286900701,0.00588209979791632,FALSE,FALSE
"STN1",0.134792743239466,8.05267268979504e-05,0.13474854634725,0.000487022307524937,FALSE,FALSE
"GP6",0.41723492582349,8.05267268979504e-05,0.377077457937777,0.0015968358358079,FALSE,FALSE
"PCGF5",0.234293124104873,8.05652815782777e-05,0.125799157768967,0.0533742674982059,FALSE,FALSE
"AC005586.1",-0.249414151358018,8.05652815782777e-05,-0.218075538673308,0.00229454484002957,FALSE,FALSE
"DHPS",-0.141462975265403,8.07647290508311e-05,-0.142787151794575,0.00031108456104871,FALSE,FALSE
"NEURL1",-0.334453280630511,8.08165203140995e-05,-0.292887831045809,0.00214438012033849,FALSE,FALSE
"CYP2D7",-0.242471241846733,8.15321518499654e-05,-0.250774157526985,0.000303857123211968,FALSE,FALSE
"AC007256.1",0.279044234987984,8.15328806162926e-05,0.233733803941705,0.003117816601106,FALSE,FALSE
"RERE",0.20942673007625,8.16963065187913e-05,0.182103020402595,0.00227605607460603,FALSE,FALSE
"RAB8A",0.165973475120189,8.2084429835366e-05,0.142289308876238,0.00257401977365354,FALSE,FALSE
"CDC42P6",0.131850470548545,8.26989320888268e-05,0.117857117599513,0.0015807587726997,FALSE,FALSE
"DACH1",0.379548661055404,8.30132219089967e-05,0.319326706816163,0.00308018956575092,FALSE,FALSE
"PKD1",-0.205902451717198,8.30360434650672e-05,-0.1908352230361,0.00112314481201914,FALSE,FALSE
"GATD1",-0.108931678822724,8.31216561345262e-05,-0.093556036734177,0.00270112061561455,FALSE,FALSE
"ANKRD9",0.46070907138076,8.31216561345262e-05,0.359311908314652,0.00521332894635158,FALSE,FALSE
"RRAS2",-0.223461238734662,8.33000482732605e-05,-0.217925557334592,0.00065260600357727,FALSE,FALSE
"MPZL2",0.283003598972554,8.34693354791158e-05,0.261626880142668,0.00102398011580448,FALSE,FALSE
"DNASE1L3",-0.382489882138504,8.38246074930887e-05,-0.264599209826137,0.0161073074755646,FALSE,FALSE
"PSMB8-AS1",0.134736949952872,8.45689118023849e-05,0.13015987968948,0.000746305119152727,FALSE,FALSE
"IGKV1-17",-0.735437712773825,8.53568012886837e-05,-0.448511607342968,0.0307598921039899,FALSE,FALSE
"OR2A9P",-0.387699812869535,8.53568012886837e-05,-0.422858688880293,8.35428841979092e-05,FALSE,FALSE
"ARG2",0.260237278304498,8.53568012886837e-05,0.215206029674626,0.00367404706642624,FALSE,FALSE
"SYTL1",-0.157398557088502,8.53568012886837e-05,-0.149889960898702,0.000684983627381081,FALSE,FALSE
"TOR1A",0.126155675652557,8.53568012886837e-05,0.118420264205426,0.00088838355105979,FALSE,FALSE
"PIPSL",0.109082748674878,8.53836561391259e-05,0.126785813377098,3.76224399215169e-05,FALSE,FALSE
"FAM104A",0.163666019390885,8.54082043665387e-05,0.100909500927503,0.0286235965733645,FALSE,FALSE
"EPB41L3",0.292321308517957,8.61216598756409e-05,0.289661736457572,0.00050147515525096,FALSE,FALSE
"TOR4A",0.194577765381153,8.65983719147205e-05,0.200350169020795,0.000353691546627937,FALSE,FALSE
"COX15",0.0916159341498039,8.82594408944584e-05,0.0874478617036634,0.000902045104849317,FALSE,FALSE
"HEXB",0.132595202715788,8.90722563096755e-05,0.131416814239487,0.000533132346037941,FALSE,FALSE
"XAF1",0.491408221297032,8.98228978847843e-05,0.370673621455935,0.00725791231630546,FALSE,FALSE
"ARHGEF35-AS1",-0.329723995669296,9.06277846437168e-05,-0.359144497663243,0.00010133148307203,FALSE,FALSE
"CLIC1P1",0.253159783382997,9.0869842686697e-05,0.222762927146933,0.00180813042238478,FALSE,FALSE
"GPR108",0.151742785197505,9.10074730381661e-05,0.16072543404235,0.000245022715270722,FALSE,FALSE
"PLIN3",0.275489580585659,9.12181372696371e-05,0.28165566894216,0.000355790996106511,FALSE,FALSE
"TMEM191A",-0.227662612640565,9.13712907624416e-05,-0.205307610416115,0.00164519954709354,FALSE,FALSE
"AKAP17A",-0.107494129891492,9.15505290943803e-05,-0.0966367850254824,0.00185176889835179,FALSE,FALSE
"TMEM121B",0.392623204995633,9.15557289232958e-05,0.348010591616876,0.0023350541527675,FALSE,FALSE
"PAIP2B",-0.206496939402749,9.20443937383308e-05,-0.207206433050592,0.000497650819022419,FALSE,FALSE
"TRANK1",0.248444450756863,9.23162117007879e-05,0.209297790241894,0.00336602236009266,FALSE,FALSE
"ELOVL7",0.428892209671475,9.23162117007879e-05,0.364790341486685,0.00317500112726824,FALSE,FALSE
"PHF21A",0.212869423382924,9.23162117007879e-05,0.205136255083386,0.000806425930867791,FALSE,FALSE
"TRAF4",-0.170507145992703,9.23162117007879e-05,-0.130107865756748,0.00740461097117717,FALSE,FALSE
"USF1",0.140399198361254,9.25979040507074e-05,0.12785591373283,0.00166790281536724,FALSE,FALSE
"GLB1",0.151260134136273,9.27058249544897e-05,0.165973896588636,0.000154890740341555,FALSE,FALSE
"LEPR",0.327588774806878,9.27058249544897e-05,0.289628982286989,0.00204134799405422,FALSE,FALSE
"ANKRD33B",0.226074997923412,9.27058249544897e-05,0.188443261167827,0.00351759457328654,FALSE,FALSE
