"gene","logFC","logCPM","F","PValue","FDR","sig"
"MTARC1",0.0874879094639575,4.72883193209455,1.1125804377252,0.292114159849168,0.443238254885933,FALSE
"TTC5",-0.0345851616154518,3.60015947727718,1.11180894828312,0.292281338605633,0.443447071375578,FALSE
"PDGFRL2P",-0.0631500052177702,2.29925553132894,1.11142716504741,0.292364189021479,0.443513203754149,FALSE
"ST13P19",0.0495297769633136,2.48044997123261,1.11133545629083,0.292384054467973,0.443513203754149,FALSE
"G3BP1",-0.0257201741079557,6.73794460139443,1.11095421926492,0.292466661901655,0.443593657046672,FALSE
"SOS2",0.06572846750436,5.77061370451848,1.11057020497966,0.292549981447635,0.443663493156295,FALSE
"PTPRC",0.0627650085443158,9.90633303819777,1.11046942280735,0.29257185293929,0.443663493156295,FALSE
"PRDM5",0.142744428204596,0.839176098817187,1.10920239681255,0.292847799768479,0.443998338060853,FALSE
"PIGM",-0.0329961683780605,3.88826039802328,1.10918008925901,0.292851856759908,0.443998338060853,FALSE
"PHF6",-0.0866794027582398,3.45628932618171,1.10864447474494,0.292968291025374,0.444129982009161,FALSE
"KANSL1L-AS1",-0.0749239316308177,0.00364419914414628,1.10781104429085,0.293152393455458,0.444364171629664,FALSE
"ZNF681",-0.0839799318100056,1.2080851055575,1.10734345887924,0.293251747540419,0.444469864275749,FALSE
"ZBTB3",-0.0258423286421491,3.19015022835167,1.10654271559113,0.29342570002992,0.444643786262,FALSE
"CNIH1",0.0482451364625667,4.9008606777351,1.10654218256438,0.293425775496187,0.444643786262,FALSE
"CPA5",-0.171261529249633,1.81682100458336,1.10589201219511,0.29356764584439,0.444771707895291,FALSE
"BTBD19",0.0599189944972737,1.79554000023925,1.10588357408782,0.293569487506944,0.444771707895291,FALSE
"TBC1D22B",0.0395771177555313,4.44313780045695,1.10550178762806,0.293652530719753,0.444852596774486,FALSE
"PLK4",-0.0859314076597303,0.41057442477623,1.10523524893924,0.293712177597507,0.444872580728657,FALSE
"FAM118A",0.103330224849837,5.33971919029156,1.10516935001579,0.293725030803716,0.444872580728657,FALSE
"SMPDL3B",0.0940496327491704,0.717505806549111,1.10462571339654,0.293844602202847,0.444991886972869,FALSE
"HNRNPUP1",0.0472739030684719,2.06140294419518,1.10453706672577,0.293863126532477,0.444991886972869,FALSE
"RAB27B",0.0775795571790609,2.62052817244205,1.10426051322306,0.293923425978474,0.445038275790176,FALSE
"SERINC2",0.126848829596864,2.61862606014517,1.10374188279901,0.294036679652177,0.445164826737507,FALSE
"PAM",0.0750719944316609,4.64460923713001,1.10294080793454,0.294211652832457,0.445384784641021,FALSE
"IGLC5",-0.113165198611058,0.244701226060334,1.10124379542891,0.294584906031194,0.445904829006152,FALSE
"IGHV3OR16-13",0.123994577298287,0.86077306842835,1.10083956700807,0.294672195201681,0.445991956458396,FALSE
"RBBP5",0.0286408073253897,4.8655003173263,1.10054893493652,0.294735089809652,0.446042148423726,FALSE
"AP4E1",-0.0433018888150974,3.2205687157997,1.09951354903922,0.29496208286188,0.446340646267291,FALSE
"IGLC3",0.124810368111598,7.39486723949569,1.09855760338204,0.295171783768202,0.446612919827591,FALSE
"TGDS",-0.0630358861743926,2.67841224449132,1.09741881643948,0.295421954452799,0.446946365540631,FALSE
"TENT2",0.0531891289443551,5.37440675445693,1.09696266805738,0.295522149622547,0.447008538262698,FALSE
"C12orf73",-0.0464929239858194,1.70089057555072,1.09696143343166,0.295522642480299,0.447008538262698,FALSE
"ZFYVE21",-0.0250950648186256,3.81945458402173,1.09608793408109,0.295714542078544,0.447253711086028,FALSE
"PHC3",-0.0655231146047329,5.35358930167006,1.09566769252645,0.295807014927467,0.44734847156672,FALSE
"FBXO25",-0.0268118159906658,4.08629025661594,1.09519766788357,0.29591050193024,0.447459867952571,FALSE
"ECD",-0.0214601709713655,4.55227295848602,1.09423487812016,0.296122614315412,0.44773548276152,FALSE
"ENPP4",-0.110907065859035,2.9452474893264,1.09294598356024,0.296406930294947,0.448081015247181,FALSE
"NSMCE4A",-0.0440916494889814,4.49767007608977,1.09292787756387,0.296410878237104,0.448081015247181,FALSE
"MRPS21",0.054120008928751,4.54993226483302,1.09264794501073,0.296472664710775,0.448129261057032,FALSE
"BCAS3",0.0448082907459544,5.00628577412611,1.09105457060233,0.296824670314002,0.448616129765329,FALSE
"DPH5",-0.0614676063844724,3.67026959858555,1.09071235345986,0.296900356623256,0.448676629367727,FALSE
"PKN1",0.0446934108757737,8.68733972494203,1.09060305778951,0.296924515155499,0.448676629367727,FALSE
"SYT11",-0.0390385619133622,5.21889604377209,1.09024153113964,0.297004493113568,0.448752281769539,FALSE
"SLC35B2",-0.025904258113731,5.19289638853837,1.08932077174788,0.297208310278595,0.449015012165105,FALSE
