"gene","logFC_79362","logCPM_79362","F_79362","PValue_79362","FDR_79362","sig_79362","logFC_94438","logCPM_94438","F_94438","PValue_94438","FDR_94438","sig_94438","sig_status"
"GBP4",0.663857143030216,7.10051341819854,80.6117082104833,1.59847119018146e-17,7.15207852796055e-15,FALSE,0.599775496306392,6.72247882634421,61.7828371511463,3.11415248123636e-14,6.58007260894477e-12,FALSE,"Neither"
"FZD5",0.698225371361704,0.407893343611568,79.8919145337007,1.97375304403989e-17,8.59881095896851e-15,FALSE,0.430825424859626,0.557118037414682,23.256044735112,1.97290162249612e-06,4.4440645856887e-05,FALSE,"Neither"
"CTSA",0.405591593617415,7.68859118468043,77.1231534284314,6.78971832720111e-17,2.88214838222601e-14,FALSE,0.301999466242674,8.13855205580991,26.0800500352388,4.93192671339892e-07,1.41740928265154e-05,FALSE,"Neither"
"TRIM69",0.366071564234053,6.34195532200596,74.9830535832322,1.65914088060853e-16,6.69928714109128e-14,FALSE,0.323052240684277,6.27439239195862,52.42322222745,2.07892561449457e-12,2.78464661327211e-10,FALSE,"Neither"
"ERLIN1",0.339372235833644,5.08992119485001,73.9738087297105,2.53303909415436e-16,9.98439576279177e-14,FALSE,0.180806424610647,4.6664085796959,26.0997067473821,4.88482690403096e-07,1.40656762407433e-05,FALSE,"Neither"
"C2",0.992887245245006,1.59010177629976,73.7843016787778,2.71836466737389e-16,1.04657039693895e-13,FALSE,1.17682887755893,2.01738242604982,106.736450418145,1.69869258421767e-22,2.8315317942704e-19,TRUE,"GSE94438 only"
"RAB20",0.674438127666671,3.91855169946349,73.3858879492968,3.24550925208046e-16,1.22112285609527e-13,FALSE,0.510093661235257,4.3429507776092,40.4789507730733,5.0956272909767e-10,3.71090294268119e-08,FALSE,"Neither"
"DCUN1D3",0.267999359753385,3.52015270832669,73.203058613368,3.50733297084843e-16,1.2903088296088e-13,FALSE,0.179287357615561,3.19996918394358,34.0549461401803,1.05598577834721e-08,5.19406513008685e-07,FALSE,"Neither"
"P2RY14",0.889202789610088,4.87435600231698,72.5671485200888,4.57612345944946e-16,1.61186646534438e-13,FALSE,0.762395257974478,4.21558709351486,41.560536816342,3.07479264058275e-10,2.35160376055395e-08,FALSE,"Neither"
"CYBB",0.409226442810822,8.91100875867581,72.2058313004585,5.32705479268591e-16,1.83727900193574e-13,FALSE,0.39133262843854,8.42841755501575,59.1818578311534,9.91691657911239e-14,1.88320990531448e-11,FALSE,"Neither"
"FAM20A",0.973553347733173,1.87425601281333,70.9110143347066,9.18874484395374e-16,3.10448307942151e-13,FALSE,1.2318910194294,1.51796322113863,101.371756978736,1.50489558663484e-21,2.05240396279053e-18,TRUE,"GSE94438 only"
"CD177",2.33661954921265,4.35928522811859,70.3592918977647,1.16412828747952e-15,3.77885172533795e-13,TRUE,1.62625984836186,4.04323581484889,46.8195301407599,2.6907935527097e-11,2.72751924849668e-09,TRUE,"Both"
"CETP",0.551790068031305,2.68247053749138,70.3107384359653,1.19130562694413e-15,3.79270474116539e-13,FALSE,0.371442085769367,2.26759392694217,33.6715268945698,1.26770730589085e-08,6.09555929582518e-07,FALSE,"Neither"
"WSB2",0.297618528646702,5.74853295817942,70.0156749612284,1.34442195542542e-15,4.19941612680524e-13,FALSE,0.193698558374157,5.62535002799837,27.2003624602962,2.85707402661369e-07,8.87408375719639e-06,FALSE,"Neither"
"NRN1",1.28553530626991,1.08110576759401,69.484502173053,1.63031739938754e-15,4.99813047164088e-13,TRUE,0.978499732919844,0.961195785102654,53.6941174150909,1.17123617923895e-12,1.6421388000881e-10,FALSE,"GSE79362 only"
"NUCB1",0.386642265433842,8.02525704194319,68.5130433990044,2.54460991028017e-15,7.65927582994332e-13,FALSE,0.391643434155131,8.43600654726949,39.7721576703732,7.09413709544843e-10,4.95005789329848e-08,FALSE,"Neither"
"ASPHD2",0.417770907949607,3.82821729427944,68.139691687902,2.98608024209297e-15,8.82759971568733e-13,FALSE,0.407101892754226,3.77560947306488,80.6856124695722,8.38517785845895e-18,3.98971832616794e-15,FALSE,"Neither"
"ETV6",0.326706284344441,6.81898768842908,68.0335555283153,3.12086517657518e-15,9.06419701722844e-13,FALSE,0.246406913892214,6.73561527504853,31.420430920091,3.72006219681436e-08,1.52481893651937e-06,FALSE,"Neither"
"SLAMF8",0.705131340246358,1.45056076454184,67.8186096861419,3.38898312265549e-15,9.67320958544165e-13,FALSE,0.484613216684524,1.35442352729122,37.9853239997809,1.64304284122782e-09,1.03133592904183e-07,FALSE,"Neither"
"TAP2",0.349889466111231,7.16116200937668,67.5022163807483,3.91412371805741e-15,1.09827657885492e-12,FALSE,0.354688000169529,6.69918554147911,49.5189912598761,7.80295811736326e-12,9.36479821413469e-10,FALSE,"Neither"
"TAPBP",0.339875854250589,9.27809069981786,64.2410942573265,1.58227682015198e-14,4.36576545960266e-12,FALSE,0.222606063380945,9.42108944124276,17.6419280381355,3.24350916543289e-05,0.000433682036540323,FALSE,"Neither"
"SLC26A8",0.945353105130819,3.75661720757178,63.9508505193996,1.79499199926961e-14,4.87149058162434e-12,FALSE,0.67704099811732,3.28060160281827,31.3131149729158,3.9168360510056e-08,1.59674930535832e-06,FALSE,"Neither"
"IRF1",0.387289034677216,9.14216259814723,63.0303475669911,2.665750861451e-14,7.11798475989055e-12,FALSE,0.371959001279453,9.17628229210891,42.4646144735248,2.01797033772857e-10,1.64530385905457e-08,FALSE,"Neither"
"CYREN",0.402963495994328,5.76039390997582,62.7248878209349,3.04164286994213e-14,7.99276154157015e-12,FALSE,0.34632029033742,5.75542015966798,44.9534608684677,6.36251210701617e-11,5.82014674569857e-09,FALSE,"Neither"
"DAPP1",0.423364435349297,6.81524781685926,62.601250392466,3.20836973238949e-14,8.29915014370439e-12,FALSE,0.358970576262718,6.05541110428332,28.4746424172854,1.5392746360213e-07,5.26018179717347e-06,FALSE,"Neither"
"CCR2",0.400351036497692,7.01765328868609,62.528174875072,3.31126552718495e-14,8.31970084999628e-12,FALSE,0.284417044059694,6.38206822133829,24.2732940126416,1.19488944485429e-06,2.94831109403027e-05,FALSE,"Neither"
"ASAP2",0.589557018664928,0.433247762046546,62.3999898421992,3.31682425913473e-14,8.31970084999628e-12,FALSE,0.1434226054822,0.0118981409805069,2.89942640416018,0.0893374025768134,0.18726277958046,FALSE,"Neither"
"LPCAT2",0.494740010791326,6.81790595657724,62.1853422532687,3.84021813727199e-14,9.48877780037878e-12,FALSE,0.37668037933489,5.98147771654021,23.1533559539924,2.07398228686616e-06,4.6300420041021e-05,FALSE,"Neither"
"GK3P",0.629387494666487,2.25237119816973,62.1407238439263,3.9265545296266e-14,9.55942797617181e-12,FALSE,0.510273117394088,1.73461969242119,35.8942829428789,4.40971230830344e-09,2.42324190656294e-07,FALSE,"Neither"
"MR1",0.23048320651669,6.20177032319796,61.7979475144238,4.54106539136149e-14,1.08952663121724e-11,FALSE,0.203813961042873,5.86323220849845,47.4730396352552,1.99244007111779e-11,2.09469265568703e-09,FALSE,"Neither"
"EPSTI1",0.925254479281434,6.77246421244212,61.7422787300411,4.65178486758194e-14,1.10014712118313e-11,FALSE,0.826541054015203,6.65152303394028,55.1396924610336,6.08383587391806e-13,9.80608945983919e-11,FALSE,"Neither"
"FAS",0.448530996317832,6.10815400585948,61.449578187825,5.28061956330234e-14,1.23127685733057e-11,FALSE,0.380239266880174,5.2389984811177,24.7888417855304,9.27718229730382e-07,2.38315563055055e-05,FALSE,"Neither"
