"gene","logFC","logCPM","F","PValue","FDR"
"FAM167B",-0.182284713331612,-0.0498481600652734,4.195490804901,0.0411479737796158,0.0994685631069603
"SCAMP2",0.0657332988215219,7.86327239288845,4.1924267958245,0.0412179349172288,0.0996216303573815
"FAM50A",0.0933723172737984,5.69349704345667,4.18573327788113,0.041379342323485,0.0999956336238599
"MTPAP",-0.0613381444152682,3.54110939569161,4.1854277211626,0.0413867541746907,0.0999974369670978
"UBB",0.192462621704075,9.75817298576753,4.18416257620842,0.0414173143212991,0.100055160941728
"SACS",-0.162562395770138,3.07262167814759,4.18335643008757,0.0414368701439367,0.100071979716731
"FBH1",-0.045114830035602,5.90606203252124,4.18332337716197,0.0414376175176867,0.100071979716731
"LTV1",-0.0757540326864419,3.38806205575748,4.18231242383135,0.0414621266132266,0.100115052865222
"LINC02812",-0.12573784813621,0.110832291934522,4.18123115836284,0.0414908914351383,0.100157274581649
"ZKSCAN2",-0.0667067018652643,1.76989461252211,4.18104731464935,0.0414929650396578,0.100157274581649
"OLFM2",-0.107006623444669,4.09050243324186,4.17995341408009,0.0415192609307557,0.10020462556036
"PSRC1",0.103403080769434,3.03755789268579,4.17906355256995,0.0415408923900703,0.100240705748083
"CDK20",-0.0783473052756915,2.18921253775686,4.17809569293386,0.0415644636417741,0.100271143688651
"EVI2A",0.241634121645514,5.01836966957407,4.17799090762343,0.0415668739234582,0.100271143688651
"KIR2DL4",0.219715873407564,1.02789831748472,4.17646893420336,0.0416044848561665,0.100345736625757
"AOC3",-0.168328784795975,3.61621362412046,4.17583454518279,0.0416192896298405,0.10036530831488
"TRPS1",0.0883574584653324,3.17059580513802,4.17458627251005,0.0416496694773526,0.100419715821522
"JAZF1",0.113610303063367,5.46534570877163,4.17435541894999,0.041655238738657,0.100419715821522
"NBPF8",-0.151992518108459,3.35461192020047,4.16966740755235,0.0417695181837579,0.100679034671069
"SLC39A13",-0.0568845318548714,5.68445019992331,4.16915135478953,0.0417820754954829,0.100693123949114
"TBL2",0.0446279151083762,4.65117527995312,4.16722086847505,0.0418292316755611,0.100777855893434
"NSA2",-0.10612592667625,4.71146788479165,4.16714269622146,0.0418311434270538,0.100777855893434
"MTFR1",-0.129675959290598,2.71192041701582,4.16689015957868,0.0418373874486275,0.100777855893434
"SOWAHC",0.160532415496913,0.0818670596655124,4.16527823420025,0.0418794099030429,0.100852008572371
"RNF10",0.198613000380124,9.23725221856025,4.16507886548888,0.0418816166781676,0.100852008572371
