"gene","logFC_baseline","FDR_baseline","logFC_adjusted","FDR_adjusted","sig_baseline","sig_adjusted","change"
"MAP3K4",-0.130454013437287,1.07275910660261e-05,-0.122897779755674,0.00646615327264527,FALSE,FALSE,"Not significant"
"PBX4",-0.202398640003346,1.07357369339548e-05,-0.176807379881759,0.0129298494215636,FALSE,FALSE,"Not significant"
"TBC1D27P",-0.385272673715161,1.07357369339548e-05,-0.299458433160902,0.0262843028069284,FALSE,FALSE,"Not significant"
"LINC02207",-0.59647813086636,1.0918408004902e-05,-0.380822958810636,0.066518730031327,FALSE,FALSE,"Not significant"
"BLK",-0.281703818970541,1.09734167952672e-05,-0.23107019802932,0.014846932107363,FALSE,FALSE,"Not significant"
"FNBP4",-0.131170866779336,1.1122188289448e-05,-0.148311375440259,0.00144164218585053,FALSE,FALSE,"Not significant"
"AC087289.2",-0.273340607750143,1.11272387703352e-05,-0.244372704752163,0.0326318533846169,FALSE,FALSE,"Not significant"
"C1orf74",-0.153139579234417,1.11299807014865e-05,-0.142842506440696,0.00841705166817873,FALSE,FALSE,"Not significant"
"POLRMT",-0.183663970917828,1.11873370537547e-05,-0.158390649454072,0.0139292801270442,FALSE,FALSE,"Not significant"
"DERA",0.133694956690505,1.12023328565424e-05,0.122995423205434,0.00960604074488563,FALSE,FALSE,"Not significant"
"IFIT3",0.736002147424248,1.12023328565424e-05,0.823337205341075,0.000520799575821782,FALSE,FALSE,"Not significant"
"DR1",0.129225928125543,1.14377557418463e-05,0.0937315250704973,0.0248449818427424,FALSE,FALSE,"Not significant"
"ODF2",-0.138566298925058,1.14635672340476e-05,-0.0944514667682295,0.0507807213106788,FALSE,FALSE,"Not significant"
"EIF4E3",0.225258295933855,1.14635672340476e-05,0.199276073973622,0.00851071352143757,FALSE,FALSE,"Not significant"
"AC105219.1",-0.382607605979893,1.15230359646353e-05,-0.387757673983509,0.00627516725519893,FALSE,FALSE,"Not significant"
"ZNF331",-0.18728305712392,1.17453941118569e-05,-0.185945712589575,0.00389658812463879,FALSE,FALSE,"Not significant"
"CROCC2",-0.56825360568496,1.17827706451e-05,-0.579675421844082,0.0090077776203704,FALSE,FALSE,"Not significant"
"HTATIP2",0.211903901321158,1.17827706451e-05,0.173044096550466,0.0160015417194429,FALSE,FALSE,"Not significant"
"PLEKHO1",0.186609595380773,1.1812749626602e-05,0.172731057640837,0.0101755243322232,FALSE,FALSE,"Not significant"
"IL1B",0.386850315040185,1.1812749626602e-05,0.324242758197635,0.0170176972387162,FALSE,FALSE,"Not significant"
"AC245884.2",0.550887330536806,1.1812749626602e-05,0.39836979033673,0.0518534905137757,FALSE,FALSE,"Not significant"
"AL139174.1",0.229858057781589,1.19287086478263e-05,0.222595120390926,0.00907293173910296,FALSE,FALSE,"Not significant"
"ADM",0.516792604122218,1.19287086478263e-05,0.424987164871841,0.0182501363256175,FALSE,FALSE,"Not significant"
"UCKL1",-0.15500825734203,1.19593136932214e-05,-0.123517004539736,0.0205365221588368,FALSE,FALSE,"Not significant"
"RUFY4",0.524055272154528,1.22632470860248e-05,0.408984141766833,0.0127595194957666,FALSE,FALSE,"Not significant"
"ZNF429",0.307978045051783,1.23234244534481e-05,0.251995764641333,0.0124755335154675,FALSE,FALSE,"Not significant"
"CDKN1A",0.347658417190424,1.23965445342741e-05,0.319978420547519,0.00737638760869223,FALSE,FALSE,"Not significant"
"SBF2",0.258672600706478,1.24643821487549e-05,0.221995897122543,0.0171489961345222,FALSE,FALSE,"Not significant"
"WDFY3-AS2",0.456508120632334,1.25841523759215e-05,0.255958084349833,0.132437359582831,FALSE,FALSE,"Not significant"
"PTTG1IP",0.164439098809751,1.26105430914521e-05,0.146612992627449,0.00947173625522151,FALSE,FALSE,"Not significant"
"TGFB1",0.220959698921884,1.26661419286651e-05,0.190526925589447,0.0189334148031033,FALSE,FALSE,"Not significant"
"ARL8B",0.112160960115556,1.27604622064962e-05,0.0837918543182633,0.0362015986448487,FALSE,FALSE,"Not significant"
"CYSLTR1",0.209068801805261,1.27879782225763e-05,0.193199055078019,0.00478062817294805,FALSE,FALSE,"Not significant"
"EIF4H",0.105842266442647,1.28085853895662e-05,0.111274397678032,0.00399507900663071,FALSE,FALSE,"Not significant"
"RAB31",0.293970443698125,1.30188122510704e-05,0.225199183323719,0.0355814789948024,FALSE,FALSE,"Not significant"
"SLC39A9",0.0775760850990667,1.32028842205976e-05,0.0740592207123859,0.00491968344658583,FALSE,FALSE,"Not significant"
"JMJD7-PLA2G4B",-0.213228051414317,1.34742572348836e-05,-0.207133503818182,0.0295513566748714,FALSE,FALSE,"Not significant"
"ANAPC1",-0.191814516333029,1.36077953077318e-05,-0.169730774563023,0.00737763656177665,FALSE,FALSE,"Not significant"
"LMO2",0.289679106244995,1.36555975692078e-05,0.255776612262111,0.00960423959710852,FALSE,FALSE,"Not significant"
"PCOLCE",-0.230015148777024,1.36555975692078e-05,-0.184065037201853,0.0267580977854045,FALSE,FALSE,"Not significant"
"PPP1R3D",0.229924280852138,1.36555975692078e-05,0.185884578122565,0.0150462282639843,FALSE,FALSE,"Not significant"
"RELB",0.274910045128406,1.37850451544129e-05,0.24592422396849,0.0110703535015561,FALSE,FALSE,"Not significant"
"TMEM164",0.287455841167738,1.37850451544129e-05,0.25600559851059,0.0063358964665068,FALSE,FALSE,"Not significant"
"HNRNPDL",-0.119819873110781,1.38533490415478e-05,-0.134035013029527,0.00135494421362505,FALSE,FALSE,"Not significant"
"SFMBT1",-0.169919512521019,1.38741900151851e-05,-0.151910717385397,0.0104967707538596,FALSE,FALSE,"Not significant"
"ARRDC1-AS1",-0.124694467385573,1.40361799731333e-05,-0.115834092662858,0.00747021121418924,FALSE,FALSE,"Not significant"
"CHMP2B",0.15904528077948,1.40996290270399e-05,0.131327892289316,0.0151661422868645,FALSE,FALSE,"Not significant"
"EMILIN2",0.265933349616568,1.41430626590839e-05,0.26995151978143,0.00457048720263471,FALSE,FALSE,"Not significant"
"GALC",0.158323774200096,1.41430626590839e-05,0.127578254541701,0.0192390386528733,FALSE,FALSE,"Not significant"
"KCTD20",0.120372955181562,1.42453556148334e-05,0.0932149297686851,0.0286093520782348,FALSE,FALSE,"Not significant"
"LAPTM4A",0.169159623054279,1.42494049279899e-05,0.158783375477231,0.00671163316074799,FALSE,FALSE,"Not significant"
"NFE2",0.377678775658943,1.42499111514461e-05,0.278410969870981,0.0456037925368576,FALSE,FALSE,"Not significant"
"LSG1",-0.135035158595376,1.42918756081959e-05,-0.106727573125666,0.0158940820428729,FALSE,FALSE,"Not significant"
"ATP7B",0.315244642354906,1.44469668291026e-05,0.276121757363456,0.00898203441896525,FALSE,FALSE,"Not significant"
"GPR141",0.316366066449851,1.4451407382283e-05,0.255202957791595,0.01989711908171,FALSE,FALSE,"Not significant"
"ZNF586",0.145182977527347,1.44626189406251e-05,0.123249317713,0.0109544850707436,FALSE,FALSE,"Not significant"
"PPP1R13B",-0.178681346505412,1.44712283066457e-05,-0.159669617543067,0.0156712230046473,FALSE,FALSE,"Not significant"
"ACBD6",-0.104924807667046,1.45001110320476e-05,-0.0967220102482085,0.00601153410308539,FALSE,FALSE,"Not significant"
"OSGEP",-0.146282947713676,1.45124082854353e-05,-0.146778441596141,0.00163061046444852,FALSE,FALSE,"Not significant"
"AC108673.2",0.284532531238195,1.46487208805978e-05,0.204354921211699,0.0575225858597214,FALSE,FALSE,"Not significant"
"NAA40",-0.152528532547213,1.46584980887128e-05,-0.148994369857056,0.0035652861643308,FALSE,FALSE,"Not significant"
"SLCO3A1",0.229113033588368,1.48582410969051e-05,0.219318864358801,0.00546221378452267,FALSE,FALSE,"Not significant"
"YIPF4",0.144799568871461,1.50427245210128e-05,0.106496472311052,0.0323113043383752,FALSE,FALSE,"Not significant"
"KCTD7",-0.154266442577635,1.52112318280073e-05,-0.157493813077451,0.0048049892582209,FALSE,FALSE,"Not significant"
"AC009133.3",-0.205704165299217,1.52446665295773e-05,-0.214979254449255,0.0129662689800497,FALSE,FALSE,"Not significant"
"UQCC2",-0.16122411601084,1.52633282148103e-05,-0.12435470932004,0.0292489419325397,FALSE,FALSE,"Not significant"
"SH3GLB1",0.226272431741919,1.53101660303553e-05,0.173691650104208,0.0235208195116319,FALSE,FALSE,"Not significant"
"RNF145",0.121620520462106,1.53578084325314e-05,0.109602323200443,0.0103243633480156,FALSE,FALSE,"Not significant"
"EIF1P7",0.187036262915815,1.53629679263407e-05,0.150436485625028,0.0222743663765777,FALSE,FALSE,"Not significant"
"IL10RB",0.238154659642332,1.54452768736938e-05,0.176108867189081,0.0228101433538187,FALSE,FALSE,"Not significant"
"TRIM38",0.178117590433842,1.54940589051068e-05,0.158569461386432,0.00835907088995601,FALSE,FALSE,"Not significant"
"AC069528.2",0.474993878364491,1.5766334058726e-05,0.333113269717459,0.0249764602430321,FALSE,FALSE,"Not significant"
"MARCHF5",0.145634168655023,1.58941224273779e-05,0.114901470384822,0.0202355996697203,FALSE,FALSE,"Not significant"
"GPS2",-0.155304522078914,1.58941224273779e-05,-0.14209742670452,0.0211496402592237,FALSE,FALSE,"Not significant"
"FAM219B",-0.141735547942326,1.61085216063777e-05,-0.135968721527765,0.0210055500981339,FALSE,FALSE,"Not significant"
"HEBP1",0.22451614060307,1.61479144932783e-05,0.158226065280917,0.0482986036682267,FALSE,FALSE,"Not significant"
"RHOQP2",0.244745337828427,1.61880380155166e-05,0.188350607165403,0.109180081221393,FALSE,FALSE,"Not significant"
"BASP1-AS1",0.617027168603848,1.63163578777724e-05,0.264188603412205,0.246668988208685,FALSE,FALSE,"Not significant"
"TMEM51",0.517448005577886,1.63343207191817e-05,0.491603057759732,0.0119288774302572,FALSE,FALSE,"Not significant"
"SPTLC2",0.205926424215986,1.63798024307961e-05,0.203713063118542,0.00549183638363784,FALSE,FALSE,"Not significant"
"NTSR1",0.58870085550039,1.64657476845794e-05,0.375912220669727,0.0570433634550253,FALSE,FALSE,"Not significant"
"CD46",0.231103141001334,1.66535758910024e-05,0.198918410430585,0.0148900054447564,FALSE,FALSE,"Not significant"
"AC017104.1",-0.31141136849576,1.67197690135507e-05,-0.330083908505164,0.00289591942503875,FALSE,FALSE,"Not significant"
"DCAF8",-0.0750443412149997,1.67218810666744e-05,-0.0832661321569299,0.00137265067766244,FALSE,FALSE,"Not significant"
"SEMA4C",-0.193716740052064,1.69189729501337e-05,-0.195366963856001,0.00565346867940107,FALSE,FALSE,"Not significant"
"RBM4B",-0.107168214721208,1.69189729501337e-05,-0.0684818381655785,0.0716064012104061,FALSE,FALSE,"Not significant"
"AL021707.8",-0.227993253561873,1.69327259258655e-05,-0.242116379383654,0.0040581826964111,FALSE,FALSE,"Not significant"
"FAHD2A",-0.158854761961563,1.70045083526009e-05,-0.140897738238957,0.0109922762486543,FALSE,FALSE,"Not significant"
"MMADHC",0.160635534173373,1.73691598424216e-05,0.145289031599237,0.0102538163654121,FALSE,FALSE,"Not significant"
"H2BC7",0.457041695786337,1.73913921128032e-05,0.339667861922933,0.049393293624992,FALSE,FALSE,"Not significant"
"KLF3-AS1",-0.276426463031258,1.78452206896052e-05,-0.250705692655254,0.0114236683522834,FALSE,FALSE,"Not significant"
"FUS",-0.128751339376736,1.79154310074939e-05,-0.144587147448632,0.00123524399896061,FALSE,FALSE,"Not significant"
"SRPK3",-0.283974773936557,1.79154310074939e-05,-0.320904291392,0.0025727405962762,FALSE,FALSE,"Not significant"
"JAG1",0.297530237973099,1.79268685841443e-05,0.28538226780765,0.00470619798224671,FALSE,FALSE,"Not significant"
"EPG5",0.141626067778332,1.79268685841443e-05,0.128134892270173,0.0140070314651897,FALSE,FALSE,"Not significant"
"RBM6",-0.134829866075326,1.8077342628945e-05,-0.116648148135953,0.00893738841731192,FALSE,FALSE,"Not significant"
"AC012645.3",-0.196358112284293,1.80978064189166e-05,-0.196731092595503,0.00912153604857356,FALSE,FALSE,"Not significant"
"IFITM1",0.377283479901434,1.81413056699956e-05,0.323456881707576,0.00951088658873134,FALSE,FALSE,"Not significant"
"GABARAP",0.243326546849743,1.82453378340875e-05,0.213632683067171,0.0164772127131454,FALSE,FALSE,"Not significant"
"CLEC5A",0.391737771364012,1.82742276111949e-05,0.318774654958708,0.0208460397065423,FALSE,FALSE,"Not significant"
"ACSL1",0.465660029766463,1.82986523830024e-05,0.39787738979852,0.01623538194614,FALSE,FALSE,"Not significant"
"WDR19",-0.157075485185173,1.86324654753603e-05,-0.156362403326822,0.00590948427679428,FALSE,FALSE,"Not significant"
"AC012360.3",-0.223297104918523,1.88030358850566e-05,-0.238988759426251,0.00581802468384659,FALSE,FALSE,"Not significant"
"SUPT7L",-0.10187377847926,1.88030358850566e-05,-0.0937239071911394,0.0103406387565537,FALSE,FALSE,"Not significant"
"MFSD14B",0.254855895387,1.88460121725827e-05,0.199297898315785,0.0151063205955111,FALSE,FALSE,"Not significant"
"TBK1",0.181759409133913,1.88804541104514e-05,0.137256042071369,0.0400468564595572,FALSE,FALSE,"Not significant"
"FCRL2",-0.340115650869762,1.88804541104514e-05,-0.305564122168896,0.00771856026515123,FALSE,FALSE,"Not significant"
