"study_79362","pathway","NES_79362","pvalue_79362","p.adjust_79362","leading_edge_genes_79362","study_94438","NES_94438","pvalue_94438","p.adjust_94438","leading_edge_genes_94438"
"GSE79362","HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.24825896532605,0.0691747572815534,0.0988210818307906,"RHOT1/CASP7/CPT1A/ATP1B1/TIMM10/IDH1/ATP6V0C/ATP6V1C1/PRDX3/COX15/HADHB/SLC25A20/ALAS1/HADHA/ATP6V0E1/ACAA2/SDHB/ETFDH/ATP6V1E1/ATP6V1D/PDP1/CYB5R3/BCKDHA/PDK4/DECR1/MFN2/ATP6V1H/POR/ATP6AP1","GSE94438",1.79362566765601,2.19775558788576e-09,1.3735972424286e-08,"TIMM10/DECR1/IDH1/HCCS/ATP6V0E1/COX15/HADHB/NDUFB6/SDHB/ATP6V0B/COX5B/COX6B1/LDHA/ATP6V1F/TCIRG1/VDAC2/ATP6V1C1/NDUFS6/COX6A1/COX8A/NDUFB1/ETFA/RHOT1/COX7B/SLC25A20/NDUFB3/ATP6V1E1/NDUFC2/ACAA2/ATP5F1E/UQCRFS1/SDHD/MGST3/CPT1A/PRDX3/ATP5PF/ATP5PD/NDUFA9/CASP7/NDUFB5/COX5A/ACAA1/ATP5F1B/MPC1/UQCR10/ATP5MC3/NDUFA1/VDAC1/UQCR11/UQCRC1/ATP5MG/COX7A2/ETFDH/COX6C/SLC25A11/GLUD1/BAX/CYC1/ATP6AP1/ETFB/NDUFA3/HADHA/IDH3G/NDUFB8/ATP5MF/COX4I1/NDUFC1/NDUFB7/SLC25A3/NDUFS4/HSD17B10/ACADVL/UQCRB/ATP6V1G1/NDUFA6/NDUFS2/SURF1/NDUFA8/NDUFA4/NDUFA2/MRPS11/TOMM22/PDK4/POLR2F/ATP6V0C/VDAC3/UQCRC2/ATP5MC1/TIMM13/ATP6V1H/ATP6V1D/NDUFB4/OXA1L/NDUFAB1/UQCRQ/HTRA2/IDH2/SUCLG1/TIMM8B/NDUFS3/NQO2/COX7C/ATP5MC2/ECHS1/CYCS/ECH1/TIMM17A/PHYH/UQCRH/ATP5F1C/COX17/MRPL15/ATP5ME/SDHC/POR/NDUFB2/IDH3B/ATP5PB/MFN2/NDUFA5/DLD/NDUFS7/COX7A2L/NDUFS8/ALAS1"
"GSE79362","HALLMARK_NOTCH_SIGNALING",1.31683999373772,0.1171875,0.159399241968049,"FZD5/JAG1/FZD1/PSENEN/TCF7L2/CUL1/APH1A","GSE94438",1.21146977215019,0.22007722007722,0.323642970701794,"SAP30/PSENEN/FZD5/CUL1/PSEN2/SKP1/APH1A/ST3GAL6/JAG1/RBX1/FZD1/TCF7L2/ARRB1"
"GSE79362","HALLMARK_MYOGENESIS",1.22369213876743,0.117955439056356,0.159399241968049,"ITGA7/CD36/CLU/SPARC/GADD45B/ITGB5/KLF5/CDKN1A/TGFB1/ACSL1/SPHK1/MYLK/RIT1/TNNT1/MEF2A/CRAT/RB1/GSN/APP/SLC6A8/FOXO4/GAA/TPM3/ATP6AP1/SSPN/GABARAPL2/SYNGR2/PRNP","GSE94438",1.12944394883917,0.236401673640167,0.328335657833566,"GADD45B/CD36/ITGA7/SPHK1/CDKN1A/TPM3/TNNI2/GABARAPL2/MRAS/PLXNB2/PSEN2/ACSL1/MYBPC3/FKBP1B/AGRN/HBEGF/CLU/IGFBP7/RIT1/SYNGR2/TNNT1/TGFB1/ATP6AP1/MYL4/PDLIM7/GSN/GAA/MEF2A/LSP1/MYLK/SPARC/TNNT3/MYL6B/FDPS/KLF5/PYGM/TNNC2/NQO1/SIRT2/CFD"
"GSE79362","HALLMARK_UV_RESPONSE_DN",1.19210085437556,0.144010767160162,0.189487851526528,"MAPK14/PRKAR2B/ATXN1/FZD2/CITED2/SIPA1L1/RUNX1/PDLIM5/ITGB3/LTBP1/GCNT1/FHL2/NFKB1/MGLL/CACNA1A/LPAR1/DYRK1A/SPOP/PTEN/TGFBR2/NR3C1/IRS1/ANXA4/NEK7/CDC42BPA/RXRA/PIK3CD","GSE94438",-1.0044421239598,0.5,0.595238095238095,"GRK5/IRS1/CDK13/SMAD7/BMPR1A/ADD3/SCAF8/PRDM2/SYNJ2/LAMC1/DBP/RBPMS/MYC/BCKDHB/INPP4B/SCN8A/PRKCA/AKT3/ABCC1/TENT4A/SLC7A1/SMAD3/SFMBT1/ARHGEF9/SYNE1/KALRN/MTA1/FBLN5"
"GSE79362","HALLMARK_PANCREAS_BETA_CELLS",1.31587494983059,0.154657293497364,0.194408740359897,"LMO2/MAFB/VDR","GSE94438",1.12147163794832,0.337662337662338,0.432900432900433,"LMO2/MAFB/SEC11A/SPCS1"
"GSE79362","HALLMARK_FATTY_ACID_METABOLISM",1.18183745403591,0.155526992287918,0.194408740359897,"UBE2L6/CD36/ACSL4/CPT1A/IDH1/CA2/ACSL1/NBN/PSME1/ALDH1A1/ELOVL5/HSD17B11/CD1D/HADHB/ALDOA/CRAT/GLUL/SERINC1/ACAA2/ETFDH/YWHAH/CBR1/MGLL/DECR1/GPD2/BLVRA","GSE94438",1.51087109711165,0.00140942810025221,0.00306397413098307,"UBE2L6/CD36/DECR1/IDH1/BLVRA/PSME1/HCCS/NBN/ALDH1A1/CD1D/CBR1/G0S2/HSD17B11/HADHB/LGALS1/HMGCL/LDHA/GLUL/ACSL4/ACSL1/S100A10/IL4I1/ADIPOR2/ACAA2/SDHD/CPT1A/GPD2/SMS/ACOT8/ME1/PRDX6/ACAA1/H2AZ1/ETFDH/UROD/IDH3G/PCBD1/HSD17B10/ACADVL/HSDL2/IDI1/CA2/CA4/CPT2/ALDOA/OSTC/ACADS/SUCLG1/HSD17B4/ACOX1/ECHS1/ECH1/ERP29/SDHC/HPGD/YWHAH/ELOVL5/NSDHL/ACSL5/IDH3B"
"GSE79362","HALLMARK_DNA_REPAIR",-1.03377306461009,0.341013824884793,0.415870518152186,"SSRP1/NELFCD/NCBP2/GTF3C5/POLR2F/POLA1/ERCC2/POM121/AK1/SNAPC5/RAD52/NFX1/ITPA/NME3/USP11/ADA/SNAPC4/ERCC1/NT5C/IMPDH2/RPA2/DGCR8/AAAS/RFC4/NPR2/TARBP2/SRSF6/LIG1/POLR1C/POLR2H/ERCC3/TAF1C","GSE94438",1.23876286699456,0.0921187308085978,0.148578598078383,"POLB/NT5C3A/CMPK2/GSDME/POLD3/TK2/GMPR2/TSG101/CLP1/EIF1B/TAF13/CETN2/GTF2A2/DAD1/MPC2/TAF12/NELFE/POLR2J/POLE4/TAF10/SDCBP/STX3/SUPT4H1/BCAM/POLR1D/SEC61A1/TMED2/HPRT1/RFC2/RBX1/PDE4B/POLR1H/CDA/POLR2G/SURF1/GTF2B/HCLS1/CANT1/POLR2F/VPS28/EDF1/ADRM1/DCTN4/ALYREF/POLR2E/GTF2F1/RRM2B/DGUOK/POLR2I/GUK1/PDE6G/POLR2C/GTF2H1/NME1/COX17"
"GSE79362","HALLMARK_MITOTIC_SPINDLE",1.03518129162791,0.387213510253317,0.460968464587282,"LMNB1/KPTN/DOCK4/ABI1/PDLIM5/PCGF5/KIF5B/STAU1/MAPRE1/CTTN/KIF1B/MARCKS/STK38L/GSN/YWHAE/CDC42EP1/ARL8A/MAP3K11/CDK5RAP2/PKD2/PPP4R2/RANBP9/ABR/NEDD9/ARF6/PREX1/PXN/ARHGEF11/NCK2/TLK1/BCL2L11/CDC42/FSCN1/OPHN1/CLIP2/CAPZB/CDC42EP4/AKAP13/CLIP1/CDC42BPA/FGD6/APC/ARFGEF1/RICTOR/SOS1/HOOK3/MARK4/MAP1S/FGD4/ARHGAP27/PAFAH1B1/WASF2/SSH2","GSE94438",0.564532087961477,0.998979591836735,0.998979591836735,"LMNB1/KPTN/CDC42/YWHAE/DOCK4/CDK5RAP2/CDC42EP4/MARCKS/MAPRE1/KIF1B/PDLIM5/ARL8A/SHROOM1/ITSN1/BCL2L11/MAP3K11/ARHGAP27/CDC42BPA/PCGF5/FGD4/CDC42EP1/GSN/FGD6/ABI1/BRCA2/ARHGEF12/CAPZB/PXN/HOOK3/CCDC88A/RICTOR/ARHGEF11/CDC27/NOTCH2"
"GSE79362","HALLMARK_G2M_CHECKPOINT",0.993701363107868,0.475903614457831,0.553376295881199,"MAPK14/MAP3K20/H2BC12/PML/LMNB1/EGF/DR1/TGFB1/RAD23B/BCL3/KPNB1/ATF5/KIF5B/TOP1/HIF1A/MARCKS/CUL1","GSE94438",0.857017879916512,0.7926455566905,0.80882199662296,"MT2A/PML/LMNB1/SAP30/MAPK14/MAP3K20/CUL1/ATF5/H2BC12/KPNB1/JPT1/MARCKS/CDKN2C/CHMP1A/BCL3/E2F2/UBE2S/EGF/H2AZ1/HMGB3"
"GSE79362","HALLMARK_BILE_ACID_METABOLISM",0.980814580459469,0.501404494382023,0.569777834525026,"IDH1/ATXN1/ACSL1/ALDH1A1/GSTK1/BMP6/FADS2/AQP9/HSD17B11/HSD3B7/ABCA1/ABCD1/SCP2/PEX11G/BCAR3/PEX13/CAT/SLC23A2/NEDD4/RXRA/KLF1/PNPLA8","GSE94438",0.830685397688402,0.777656078860898,0.80882199662296,"IDH1/ALDH1A1/PEX11G/HSD17B11/GSTK1/AQP9/ACSL1/PRDX5/ABCA1/ABCD1/FADS1/CYP27A1/HSD3B7/IDI1/IDH2/HSD17B4/SLC27A2/KLF1/ATXN1/PHYH/RXRA/PEX19/ACSL5/PEX16"
"GSE79362","HALLMARK_APICAL_SURFACE",0.929316921309594,0.565217391304348,0.628019323671498,"PLAUR/FLOT2/LYN/ADAM10/APP/GHRL/B4GALT1","GSE94438",0.921714820337751,0.595744680851064,0.676982591876209,"PLAUR/ADIPOR2/IL2RG/LYN/FLOT2/B4GALT1/BRCA1/CRYBG1"
"GSE79362","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.900332684526948,0.620481927710843,0.674436877946569,"NKD1/JAG1/NCSTN/FZD1/NUMB/CUL1/ADAM17/RBPJ","GSE94438",-1.20142701514507,0.153846153846154,0.239071038251366,"DVL2/MYC/CCND2/KAT2A/CSNK1E/PTCH1/PPARD/LEF1/AXIN2/TCF7"
"GSE79362","HALLMARK_HEDGEHOG_SIGNALING",0.874343877061975,0.655763239875389,0.697620467952542,"PML/DPYSL2/ETS2/TLE3/SLIT1/VEGFA/OPHN1/NRP2","GSE94438",1.03513341855346,0.443444730077121,0.540786256191611,"PML/NRP1/DPYSL2"
"GSE79362","HALLMARK_KRAS_SIGNALING_DN",-0.880259494182556,0.741935483870968,0.772849462365591,"COQ8A/SGK1/CCDC106/CLSTN3/LYPD3/GTF3C5/GAMT/TAS2R4/TCL1A/IDUA/MSH5/CELSR2/NR4A2/SIDT1/TFCP2L1/ZBTB16/WNT16/STAG3/GPR19/YPEL1/PDE6B","GSE94438",0.957656180779427,0.562162162162162,0.6536769327467,"KCNMB1/IGFBP2/MX1/IFI44L/RSAD2/C5/TENT5C/SLC12A3/PTPRJ/EGF/KRT1/MEFV/MAGIX"
"GSE79362","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",-0.846441282853981,0.876447876447876,0.894334567803956,"XPOT/EXOSC9/EXOSC5/RPS14/GEMIN4/DDX10/EDC4/WFS1/EIF2AK3/NOLC1/IMP3/ALDH18A1/ARFGAP1/ASNS/NHP2/HSPA9/GOSR2/EXOSC2/LSM4/EIF4A2/EXOC2/BANF1/EIF4A1/EXOSC10/RRP9/CXXC1/DKC1/FUS/NOP56/TSPYL2","GSE94438",1.11664843497833,0.282722513089005,0.382057450120277,"ATF3/MTHFD2/ATF6/SERP1/IFIT1/NABP1/SSR1/EIF4EBP1/CEBPB/EXOSC4/YWHAZ/SPCS3/HERPUD1/SEC11A/SPCS1/XBP1/DNAJC3"
"GSE79362","HALLMARK_SPERMATOGENESIS",0.728180117893674,0.924963924963925,0.924963924963925,"SEPTIN4/PGS1/STAM2/AGFG1/HSPA1L/ACRBP/TLE4/PRKAR2A/CLPB/IP6K1/TALDO1/CHFR/JAM3/CSNK2A2","GSE94438",0.891424441396408,0.678807947019868,0.737834725021595,"SEPTIN4/PGS1/ARL4A/STAM2/AGFG1/ACRBP/TALDO1/IL12RB2/HBZ"
