"gene","logFC","logCPM","t","PValue","FDR","B","sig"
"SNX5P1",0.0345918625826694,1.75307121273111,0.718629800920885,0.472845228736776,0.65864137667121,-5.700182862861,FALSE
"SEPTIN11",-0.0921169928151222,4.96674043131459,-2.1653354554538,0.0310324775623966,0.124967809789705,-4.16873117801919,FALSE
"TXNP6",0.0614540939399913,1.38038256543248,0.559549228119025,0.576142387331053,0.739212329690558,-5.7424406696095,FALSE
"CCNI",0.0959184254692874,8.96235689647635,2.00588614552787,0.045632289253637,0.157901827927867,-4.29892043093686,FALSE
"CCNG2",-0.0336077356902374,6.41534761126453,-0.719231388330759,0.47247500887705,0.658347257971514,-6.19938195596601,FALSE
"CNOT6L",-0.0655592228461511,6.74141485588078,-1.87987884498757,0.0609493308565975,0.187410136019869,-4.71228635418785,FALSE
"MRPL1",-0.0859937563871048,2.47604449769668,-0.835758542714889,0.40385702579185,0.600142609252327,-5.73834493398165,FALSE
"SERBP1P5",0.060642781612353,4.35026066434962,1.81349938419391,0.0706053104441066,0.206553530061637,-4.79690701962023,FALSE
"ANXA3",0.524366462996065,4.9309267686515,3.09980709559506,0.00209231775388756,0.0230837848678517,-1.82191328134841,FALSE
"LINC01094",0.258996622978635,1.58220158744842,2.17617533569922,0.0302058234550017,0.122623199435398,-3.73861946977831,FALSE
"BMP2K",0.147964867070058,4.22085445361368,2.57208366115034,0.0105178872041805,0.0644475276829816,-3.1875606180973,FALSE
"PAQR3",-0.0655234046779455,3.18257318716577,-1.05566942027974,0.291842429825787,0.493156213715006,-5.66801079304701,FALSE
"LINC00989",0.142298886079056,2.19381218690107,1.0203631776522,0.308256189423827,0.51000211695876,-5.5359140057538,FALSE
"ANTXR2",0.1837275924999,6.7101348389792,3.11401766157808,0.00199670906008671,0.0223499110816332,-1.75426519374743,FALSE
"PRDM8",-0.0406274346615655,3.7323002482924,-0.886073496042376,0.376182143029792,0.575413044244498,-5.92005020940956,FALSE
"RASGEF1B",0.0357309737766905,3.26144598241306,0.696162994052681,0.486785626658925,0.670053716582564,-5.9873787976176,FALSE
"HNRNPA3P13",0.122852215754143,-0.207308530022945,1.61704320608775,0.10676366943669,0.26618562462717,-4.48807412664206,FALSE
"BIN2P1",0.0760709131881472,4.27584011811562,1.4563022669811,0.14619939545228,0.322710798894999,-5.35418557326815,FALSE
"AC124016.3",-0.11106034133871,0.845787574662694,-1.68155535759275,0.0935409883970953,0.245843953471013,-4.50279060208097,FALSE
"HNRNPD",-0.0303559204948609,7.65450184846302,-1.17605313223112,0.24036747398474,0.438343636463689,-5.68032283878652,FALSE
"HNRNPDL",-0.134035013029527,8.01602251616121,-4.30655408109564,2.15252387909023e-05,0.00135494421362505,2.44731512868195,FALSE
"ENOPH1",-0.0502389673853149,4.23289834371691,-1.07855626354105,0.28152324660848,0.481966758686866,-5.80760694799151,FALSE
"AC067942.1",0.0186683465579072,-0.0783450587733472,0.138157117348299,0.890195151197961,0.939991116729318,-5.63657807183885,FALSE
"SCD5",-0.077330619500104,1.63996579432579,-0.740047108627735,0.459764123506777,0.648147933639809,-5.66474153077848,FALSE
"SEC31A",0.0314327274213671,6.54371611971893,0.689006167849194,0.491272746572253,0.672984718204688,-6.21150182204042,FALSE
"THAP9-AS1",-0.120543417054695,4.88688623174844,-2.27753699315481,0.0233526707155582,0.104543932854534,-3.92317463882755,FALSE
"THAP9",-0.00300786768553037,1.5771059848018,-0.0420289943145314,0.96649938582153,0.983429461110967,-5.91266229196478,FALSE
"LIN54",0.0391640628018843,3.95263204406776,0.937211979272628,0.34929135078954,0.55055872725134,-5.91154516572893,FALSE
"COPS4",-0.0274231216977771,4.62428168119878,-0.507329791043908,0.612240761677018,0.76416609826611,-6.29411724448808,FALSE
"AC073840.1",-0.0273328265689777,0.204100758822478,-0.324960096820345,0.745404093443806,0.852260092959726,-5.64028330150945,FALSE
"PLAC8",0.0432342970533898,6.86656585790089,0.733855953149716,0.463524467990587,0.651092784356574,-6.15484203746372,FALSE
"COQ2",0.0332540172807922,3.19521053572111,0.584621023562621,0.559176642290689,0.727243309983666,-6.04787059081474,FALSE
"HPSE",0.204680318793467,5.78936990959923,2.38229443689324,0.0177349613375938,0.088674806687969,-3.71718409757233,FALSE
"HELQ",-0.0250320252184149,4.08550986030466,-0.597868735979104,0.55031151711972,0.720190289795807,-6.18239753207964,FALSE
"MRPS18C",-0.0167211798032855,2.34449635450132,-0.257664279433678,0.796816405685092,0.882833328611745,-6.01510480574568,FALSE
"ABRAXAS1",-0.0539832255453921,3.3945025228642,-0.967986665737019,0.333714858004343,0.53464018043974,-5.78960627696767,FALSE
"GPAT3",0.248889385046916,5.50431795543722,2.95470660076891,0.00334009304306076,0.0309905365519882,-2.25322005517138,FALSE
"WDFY3",0.278059232428203,6.08901444834445,2.78313989013132,0.00567368714019973,0.0433591634636247,-2.71429912091377,FALSE
"WDFY3-AS2",0.255958084349833,-0.0196516567803817,2.12465118635355,0.0343113159317888,0.132437359582831,-3.6832762308164,FALSE
"ARHGAP24",0.0595432834693855,3.14634770566083,0.929728503817451,0.353148066340088,0.554000401616616,-5.78822926538382,FALSE
"PTPN13",-0.222970153513482,2.02479370469175,-2.37665338779414,0.0180040157827257,0.089668014826421,-3.34335831272453,FALSE
"AFF1",0.281638930615909,6.79537846453151,4.52472280329066,8.27857711075687e-06,0.0007831533946776,3.29336848857672,FALSE
"TECRP1",-0.0188766661373838,4.77172985749538,-0.38579403748249,0.699881991481731,0.823647701786749,-6.35950549449973,FALSE
"KLHL8",0.0951422570829595,4.56713798899254,1.87452734088797,0.0616847682750271,0.18889961871866,-4.71228957809119,FALSE
"GAPDHP60",0.00252326246852527,2.90994256326035,0.0320105716543043,0.97448174144165,0.986668059169129,-6.15312390908862,FALSE
"HSD17B13",0.188943500156259,0.492404006024815,2.17506124972994,0.0302898987871372,0.122844016271694,-3.62743910191227,FALSE
"HSD17B11",0.174022088395061,7.81528426265193,2.96133678909284,0.00327074614164645,0.0306262456871929,-2.12248390366494,FALSE
"NUDT9",0.0272830237303288,3.50885310362777,0.847513848263286,0.397283975391858,0.594620025256881,-5.92040273932447,FALSE
"HSP90AB3P",-0.0286929811784838,4.92078551290794,-0.536713199655251,0.591804389884852,0.750522573505724,-6.30393972277261,FALSE
"SPP1",0.149198411640046,0.343100919522894,0.709457104496016,0.478509969841756,0.663406126013756,-5.50422780943014,FALSE
"PKD2",0.05294032221369,3.76743237368029,1.09840680694342,0.27277675052859,0.472069737089776,-5.72973775577381,FALSE
"PPM1K",-0.0944543262708676,6.07085074894772,-1.78694573324041,0.0748056252300149,0.214072104698859,-4.91288080431402,FALSE
"HERC6",0.168267981731447,4.83750162112598,1.95841676561456,0.0509695896359388,0.168322672336518,-4.57960246023331,FALSE
